gene_id,HaplotypingProbability,ReadCount_1,TPM_1,ReadCount_2,TPM_2,gene_type,aCount,bCount,Pan_Total,MAGE_Total,log_Pan_Total,log_MAGE_Total
ENSG00000000003,0.0677966100728813,1.49332358145,0.0923868101709999,1.50667640155,0.093036029451,protein_coding,0.0,0.0,2.9999999830000004,0.0,1.9999999938685462,0.0
ENSG00000000419,0.7500000006,604.6765896,48.58799702,604.6765896,48.58799702,protein_coding,0.0,0.0,1209.3531792,0.0,10.241212369792647,0.0
ENSG00000000457,0.3333333326166667,95.833078249,1.6106545196800002,103.987134283,2.03422409619,protein_coding,0.0,1.0,199.820212532,1.0,7.649760673466445,1.0
ENSG00000000460,0.2962962963481481,43.7174116232,3.486807166104,55.9238565905,4.041581712126,protein_coding,0.0,0.0,99.6412682137,0.0,6.653078197093513,0.0
ENSG00000000938,0.7142857150857143,1032.685547967,32.1543891446,1032.902256567,32.1604979576,protein_coding,23.0,14.0,2065.587804534,37.0,11.013034946450835,5.247927513443585
ENSG00000001036,1.0,1.4033768,0.25370257,34.259971,6.1935203,protein_coding,150.0,147.0,35.6633478,297.0,5.196266622007375,8.219168520462162
ENSG00000001084,0.3076923081076922,179.816077006,4.263450956222,202.9126246653,4.671020048142,protein_coding,7.0,16.0,382.7287016713,23.0,8.583942867694914,4.584962500721156
ENSG00000001167,0.6666666666666666,346.95677,9.6230391,349.53112,9.6691284,protein_coding,11.0,11.0,696.48789,22.0,9.446024358417462,4.523561956057013
ENSG00000001460,0.0707964600345132,16.2094459777,0.6076700652120001,20.7898706787,0.74193432603,protein_coding,15.0,5.0,36.9993166564,20.0,5.247901569620237,4.392317422778761
ENSG00000001461,0.3571428567214286,203.82248172,4.9958866496,109.982042355,3.8975246491,protein_coding,40.0,17.0,313.804524075,57.0,8.298312463827456,5.857980995127572
ENSG00000001497,0.59999999902,573.1396952,15.748887078,571.50946988,15.7285110684,protein_coding,0.0,0.0,1144.64916508,0.0,10.161949596391478,0.0
ENSG00000001561,0.3333333324,631.54055329,8.906120375899999,469.4538471400001,6.6218665821,protein_coding,231.0,279.0,1100.99440043,510.0,10.10590117781581,8.997179480937621
ENSG00000001617,0.0204081633316326,2.367359358,0.041477868239,2.6326405881,0.046137247054,protein_coding,0.0,0.0,4.9999999461,0.0,2.584962487760946,0.0
ENSG00000001626,0.0206611570822314,0.50029250271,0.013841155965,0.49970748425,0.013824884349,protein_coding,0.0,0.0,0.99999998696,0.0,0.9999999905936283,0.0
ENSG00000001629,0.24999999905,0.4668158709,0.1719024844999999,0.5331841353000001,0.1963422484999999,protein_coding,2.0,6.0,1.0000000062,8.0,1.0000000044723547,3.169925001442312
